"date","variable","strat","type","median","mean","sd","lower_95","lower_50","lower_20","upper_20","upper_50","upper_95"
2022-11-15,"growth_rate",NA,"estimate based on partial data",-0.0751058490334694,-0.0758466143497962,0.0340857515810195,-0.14441247814987,-0.0982077911436241,-0.0835871344123719,-0.0661772747110612,-0.0535095985157553,-0.00914818862702608
2022-11-16,"growth_rate",NA,"forecast",-0.0751058490334694,-0.0758466143497962,0.0340857515810195,-0.14441247814987,-0.0982077911436241,-0.0835871344123719,-0.0661772747110612,-0.0535095985157553,-0.00914818862702608
2022-11-17,"growth_rate",NA,"forecast",-0.0751058490334694,-0.0758466143497962,0.0340857515810195,-0.14441247814987,-0.0982077911436241,-0.0835871344123719,-0.0661772747110612,-0.0535095985157553,-0.00914818862702608
2022-11-18,"growth_rate",NA,"forecast",-0.0751058490334694,-0.0758466143497962,0.0340857515810195,-0.14441247814987,-0.0982077911436241,-0.0835871344123719,-0.0661772747110612,-0.0535095985157553,-0.00914818862702608
2022-11-19,"growth_rate",NA,"forecast",-0.0751058490334694,-0.0758466143497962,0.0340857515810195,-0.14441247814987,-0.0982077911436241,-0.0835871344123719,-0.0661772747110612,-0.0535095985157553,-0.00914818862702608
2022-11-20,"growth_rate",NA,"forecast",-0.0751058490334694,-0.0758466143497962,0.0340857515810195,-0.14441247814987,-0.0982077911436241,-0.0835871344123719,-0.0661772747110612,-0.0535095985157553,-0.00914818862702608
2022-11-21,"growth_rate",NA,"forecast",-0.0751058490334694,-0.0758466143497962,0.0340857515810195,-0.14441247814987,-0.0982077911436241,-0.0835871344123719,-0.0661772747110612,-0.0535095985157553,-0.00914818862702608
2022-11-22,"growth_rate",NA,"forecast",-0.0751058490334694,-0.0758466143497962,0.0340857515810195,-0.14441247814987,-0.0982077911436241,-0.0835871344123719,-0.0661772747110612,-0.0535095985157553,-0.00914818862702608
2022-06-01,"infections",NA,"estimate",1.94755728576857,1.9701965813991,0.342285250087167,1.35321433008419,1.73267643831065,1.86052294275818,2.03056891903077,2.1799928461699,2.70479217299078
2022-06-02,"infections",NA,"estimate",1.97453515436284,1.99626708385729,0.325592613340782,1.41625051369547,1.76630859830082,1.89507442255206,2.05704140980016,2.19578563858986,2.69841295505476
2022-06-03,"infections",NA,"estimate",2.01968806398376,2.04088100919068,0.319782831878683,1.46637942481313,1.81854349056878,1.94595373187964,2.10581773393969,2.24444107320794,2.73120032474273
2022-06-04,"infections",NA,"estimate",2.10002474631399,2.11790715643622,0.323823795503941,1.52397604799337,1.89182788439945,2.02000380945325,2.18647549718667,2.32471907186303,2.79964166980356
2022-06-05,"infections",NA,"estimate",2.22890612350208,2.2392507827491,0.334500606508734,1.62204599724112,2.009640228963,2.13750792519098,2.31035692999058,2.4550226637118,2.94115983769892
2022-06-06,"infections",NA,"estimate",2.40534042512277,2.41236973910297,0.349076290983149,1.75815008272266,2.17426899705878,2.31534776520438,2.48221256162989,2.64153728785156,3.13005454771933
2022-06-07,"infections",NA,"estimate",2.62957094554575,2.64033432796604,0.366539368058011,1.96209919179036,2.392734458598,2.54052156424445,2.71568052692157,2.88482187213129,3.38522840765607
